ticker,fund_name,issuer,column,existing_value,suggested_value,confidence
AMOM US,QRAFT AI-ENHANCED US LARGE CAP MOMENTUM ETF,Exchange Listed Funds Trust,sub_strategy,Thematic,Style,LOW
AMUU US,DIREXION DAILY AMD BULL 2X ETF,Direxion ETFs/USA,underlier_name,AMD US,AMD,HIGH
AMUU US,DIREXION DAILY AMD BULL 2X ETF,Direxion ETFs/USA,mechanism,physical,swap,HIGH
AMYY US,GRANITESHARES YIELDBOOST AMD ETF,GraniteShares ETF Trust,underlier_name,AMD US,AMD,HIGH
AMYY US,GRANITESHARES YIELDBOOST AMD ETF,GraniteShares ETF Trust,mechanism,physical,options,HIGH
AMZD US,DIREXION DAILY AMZN BEAR 1X ETF,Direxion ETFs/USA,underlier_name,AMZN US,AMZN,HIGH
AMZD US,DIREXION DAILY AMZN BEAR 1X ETF,Direxion ETFs/USA,mechanism,physical,swap,HIGH
AMZO US,TRADR 2X SHORT AMZN DAILY ETF,Investment Managers Series Tru,mechanism,physical,swap,HIGH
AMZP US,KURV YIELD PREMIUM STRATEGY AMAZON AMZN ETF/DE,Kurv ETF Trust,underlier_name,AMZN US,AMZN,HIGH
AMZP US,KURV YIELD PREMIUM STRATEGY AMAZON AMZN ETF/DE,Kurv ETF Trust,mechanism,physical,options,HIGH
AMZU US,DIREXION DAILY AMZN BULL 2X ETF,Direxion ETFs/USA,underlier_name,AMZN US,AMZN,HIGH
AMZU US,DIREXION DAILY AMZN BULL 2X ETF,Direxion ETFs/USA,mechanism,physical,swap,HIGH
AMZW US,ROUNDHILL AMZN WEEKLYPAY ETF,Roundhill ETF Trust,sub_strategy,Derivative Income > Covered Call,Derivative Income > 0DTE / Weekly,HIGH
AMZW US,ROUNDHILL AMZN WEEKLYPAY ETF,Roundhill ETF Trust,underlier_name,AMZN US,AMZN,HIGH
AMZW US,ROUNDHILL AMZN WEEKLYPAY ETF,Roundhill ETF Trust,mechanism,physical,swap,HIGH
AMZY US,YIELDMAX AMZN OPTION INCOME ETF,Tidal Trust II,underlier_name,AMZN US,AMZN,HIGH
AMZY US,YIELDMAX AMZN OPTION INCOME ETF,Tidal Trust II,mechanism,physical,options,HIGH
AMZZ US,GRANITESHARES 2X LONG AMZN DAILY ETF,GraniteShares ETF Trust,underlier_name,AMZN US,AMZN,HIGH
AMZZ US,GRANITESHARES 2X LONG AMZN DAILY ETF,GraniteShares ETF Trust,mechanism,physical,swap,HIGH
ANEL US,DEFIANCE DAILY TARGET 2X LONG ANET ETF,Tidal Trust II,underlier_name,ANET US,ANET,HIGH
ANEL US,DEFIANCE DAILY TARGET 2X LONG ANET ETF,Tidal Trust II,mechanism,physical,swap,HIGH
ANEW US,PROSHARES MSCI TRANSFORMATIONAL CHANGES ETF,ProShares Trust,sub_strategy,Thematic,Broad,LOW
ANV US,GRANITESHARES AUTOCALLABLE NVDA ETF,GraniteShares ETF Trust,asset_class,Equity,Multi-Asset,HIGH
ANV US,GRANITESHARES AUTOCALLABLE NVDA ETF,GraniteShares ETF Trust,concentration,single,basket,MEDIUM
ANV US,GRANITESHARES AUTOCALLABLE NVDA ETF,GraniteShares ETF Trust,mechanism,physical,options,HIGH
AOA US,ISHARES CORE 80/20 AGGRESSIVE ALLOCATION ETF,iShares Trust,sub_strategy,Allocation,Broad,HIGH
AOCT US,INNOVATOR EQUITY DEFINED PROTECTION ETF - 2 YR TO OCTOBER 2026,Innovator ETF Trust,mechanism,physical,options,HIGH
AOK US,ISHARES CORE 30/70 CONSERVATIVE ALLOCATION ETF,iShares Trust,sub_strategy,Allocation,Broad,HIGH
AOM US,ISHARES CORE 40/60 MODERATE ALLOCATION ETF,iShares Trust,sub_strategy,Allocation,Broad,HIGH
AOR US,ISHARES CORE 60/40 BALANCED ALLOCATION ETF,iShares Trust,sub_strategy,Allocation,Broad,HIGH
AOTS US,AOT SOFTWARE PLATFORM ETF,EA Series Trust,sub_strategy,Broad,Sector,MEDIUM
APHU US,T-REX 2X LONG APH DAILY TARGET ETF,ETF Opportunities Trust/REX Sh,mechanism,physical,swap,HIGH
APLX US,TRADR 2X LONG APLD DAILY ETF,Investment Managers Series Tru,underlier_name,APLD US,APLD,HIGH
APLX US,TRADR 2X LONG APLD DAILY ETF,Investment Managers Series Tru,mechanism,physical,swap,HIGH
APLY US,YIELDMAX AAPL OPTION INCOME STRATEGY ETF,Tidal Trust II,underlier_name,AAPL US,AAPL,HIGH
APLY US,YIELDMAX AAPL OPTION INCOME STRATEGY ETF,Tidal Trust II,mechanism,physical,options,HIGH
APLZ US,TRADR 2X SHORT APLD DAILY ETF,Investment Managers Series Tru,mechanism,physical,swap,HIGH
APOC US,INNOVATOR EQUITY DEFINED PROTECTION ETF - 6 MO APR/OCT,Innovator ETF Trust,mechanism,physical,options,HIGH
APPX US,TRADR 2X LONG APP DAILY ETF,Investment Managers Series Tru,underlier_name,APP US,APP,HIGH
APPX US,TRADR 2X LONG APP DAILY ETF,Investment Managers Series Tru,mechanism,physical,swap,HIGH
APRB US,APTUS APRIL BUFFER ETF,ETF Series Solutions/Aptus Cap,mechanism,physical,options,HIGH
APRH US,INNOVATOR PREMIUM INCOME 20 BARRIER ETF - APRIL,Innovator ETF Trust,mechanism,physical,options,HIGH
APRJ US,INNOVATOR PREMIUM INCOME 30 BARRIER ETF - APRIL,Innovator ETF Trust,mechanism,physical,options,HIGH
APRP US,PGIM S&P 500 BUFFER 12 ETF - APRIL,PGIM Rock ETF Trust,mechanism,physical,options,HIGH
APRP US,PGIM S&P 500 BUFFER 12 ETF - APRIL,PGIM Rock ETF Trust,buffer_pct,12.0,500.0,HIGH
APRT US,ALLIANZIM US EQUITY BUFFER10 APR ETF,AIM ETF Products Trust,mechanism,physical,options,HIGH
APRW US,ALLIANZIM US EQ BUFFER20 APR,AIM ETF Products Trust,mechanism,physical,options,HIGH
APRZ US,ELEVATION SERIES TRUST - TRUESHARES STRUCTURED OUTCOME APRIL ETF,Elevation Series Trust,mechanism,physical,options,HIGH
APXM US,FT VEST US EQUITY MAX BUFFER ETF - APRIL,First Trust Exchange-Traded Fu,mechanism,physical,options,HIGH
AQLT US,ISHARES MSCI GLOBAL QUALITY FACTOR ETF,iShares Trust,sub_strategy,Style,Broad,MEDIUM
AQWA US,GLOBAL X CLEAN WATER ETF,Global X ETFs/USA,sub_strategy,Thematic,Broad,MEDIUM
ARB US,ALTSHARES MERGER ARBITRAGE ETF,AltShares Trust,sub_strategy,Alternatives,Risk-Adaptive,HIGH
ARCX US,TRADR 2X LONG ACHR DAILY ETF,Investment Managers Series Tru,underlier_name,ACHR US,ACHR,HIGH
ARCX US,TRADR 2X LONG ACHR DAILY ETF,Investment Managers Series Tru,mechanism,physical,swap,HIGH
ARKD US,ARK DIET Q1 BUFFER ETF,ARK ETF Trust,mechanism,physical,options,HIGH
ARKD US,ARK DIET Q1 BUFFER ETF,ARK ETF Trust,buffer_pct,10.0,1.0,HIGH
ARKF US,ARK BLOCKCHAIN & FINTECH INNOVATION ETF,ARK ETF Trust,asset_class,Equity,Crypto,HIGH
ARKF US,ARK BLOCKCHAIN & FINTECH INNOVATION ETF,ARK ETF Trust,sub_strategy,Thematic,Single-Access,MEDIUM
ARKI US,ARK DIET Q2 BUFFER ETF,ARK ETF Trust,mechanism,physical,options,HIGH
ARKI US,ARK DIET Q2 BUFFER ETF,ARK ETF Trust,buffer_pct,10.0,2.0,HIGH
ARKT US,ARK DIET Q4 BUFFER ETF,ARK ETF Trust,mechanism,physical,options,HIGH
ARKT US,ARK DIET Q4 BUFFER ETF,ARK ETF Trust,buffer_pct,10.0,4.0,HIGH
ARLI US,ALLIANZIM INTERNATIONAL EQUITY BUFFER15 UNCAPPED APR ETF,AIM ETF Products Trust,mechanism,physical,options,HIGH
ARLU US,ALLIANZIM US EQUITY BUFFER15 UNCAPPED APR ETF,AIM ETF Products Trust,mechanism,physical,options,HIGH
ARMG US,LEVERAGE SHARES 2X LONG ARM DAILY ETF,Themes ETF Trust,underlier_name,ARM US,ARM,HIGH
ARMG US,LEVERAGE SHARES 2X LONG ARM DAILY ETF,Themes ETF Trust,mechanism,physical,swap,HIGH
ARMW US,ROUNDHILL ARM WEEKLYPAY ETF,Roundhill ETF Trust,sub_strategy,Derivative Income > Covered Call,Derivative Income > 0DTE / Weekly,HIGH
ARMW US,ROUNDHILL ARM WEEKLYPAY ETF,Roundhill ETF Trust,underlier_name,ARM US,ARM,HIGH
ARMW US,ROUNDHILL ARM WEEKLYPAY ETF,Roundhill ETF Trust,mechanism,physical,swap,HIGH
ARP US,PMV ADAPTIVE RISK PARITY ETF,Advisors' Inner Circle Fund II,primary_strategy,Risk Mgmt,Plain Beta,HIGH
ARP US,PMV ADAPTIVE RISK PARITY ETF,Advisors' Inner Circle Fund II,sub_strategy,Risk-Adaptive,Broad,HIGH
ASGM US,VIRTUS ALPHASIMPLEX GLOBAL MACRO ETF,Virtus ETF Trust II,primary_strategy,Risk Mgmt,Plain Beta,HIGH
ASGM US,VIRTUS ALPHASIMPLEX GLOBAL MACRO ETF,Virtus ETF Trust II,sub_strategy,Alternatives,Broad,HIGH
ASGM US,VIRTUS ALPHASIMPLEX GLOBAL MACRO ETF,Virtus ETF Trust II,mechanism,physical,options,MEDIUM
ASMF US,VIRTUS ALPHASIMPLEX MANAGED FUTURES ETF,Virtus ETF Trust II,primary_strategy,Risk Mgmt,Plain Beta,HIGH
ASMF US,VIRTUS ALPHASIMPLEX MANAGED FUTURES ETF,Virtus ETF Trust II,sub_strategy,Trend / Managed Futures,Broad,HIGH
ASMF US,VIRTUS ALPHASIMPLEX MANAGED FUTURES ETF,Virtus ETF Trust II,mechanism,physical,options,MEDIUM
ASMG US,LEVERAGE SHARES 2X LONG ASML DAILY ETF,Themes ETF Trust,underlier_name,ASML US,ASML,HIGH
ASMG US,LEVERAGE SHARES 2X LONG ASML DAILY ETF,Themes ETF Trust,mechanism,physical,swap,HIGH
ASMU US,DIREXION DAILY ASML BULL 2X ETF,Direxion ETFs/USA,mechanism,physical,swap,HIGH
ASTN US,DEFIANCE DAILY TARGET 2X SHORT ASTS ETF,Tidal Trust II,mechanism,physical,swap,MEDIUM
ASTX US,TRADR 2X LONG ASTS DAILY ETF,Investment Managers Series Tru,underlier_name,ASTS US,ASTS,HIGH
ASTX US,TRADR 2X LONG ASTS DAILY ETF,Investment Managers Series Tru,mechanism,physical,swap,HIGH
ATCL US,REX AUTOCALLABLE INCOME ETF,REX ETF Trust,asset_class,Equity,Multi-Asset,HIGH
ATCL US,REX AUTOCALLABLE INCOME ETF,REX ETF Trust,mechanism,physical,swap,HIGH
ATMP US,IPATH SELECT MLP ETN,Barclays Bank PLC,sub_strategy,Broad,Sector,MEDIUM
ATTR US,ARIN TACTICAL TAIL RISK ETF,EA Series Trust,sub_strategy,Tail Risk,Risk-Adaptive,HIGH
ATTR US,ARIN TACTICAL TAIL RISK ETF,EA Series Trust,mechanism,physical,options,MEDIUM
AUAU US,GLOBAL X GOLD MINERS ETF,Global X ETFs/USA,asset_class,Commodity,Equity,HIGH
AUAU US,GLOBAL X GOLD MINERS ETF,Global X ETFs/USA,sub_strategy,Broad,Sector,MEDIUM
AUGM US,FT VEST US EQUITY MAX BUFFER ETF - AUGUST,First Trust Exchange-Traded Fu,mechanism,physical,options,HIGH
AUGP US,PGIM S&P 500 BUFFER 12 ETF - AUGUST,PGIM Rock ETF Trust,mechanism,physical,options,HIGH
AUGP US,PGIM S&P 500 BUFFER 12 ETF - AUGUST,PGIM Rock ETF Trust,buffer_pct,12.0,500.0,HIGH
AUGT US,ALLIANZIM US EQUITY BUFFER10 AUG ETF,AIM ETF Products Trust,mechanism,physical,options,HIGH
AUGU US,ALLIANZIM U.S. EQUITY BUFFER15 UNCAPPED AUG ETF,AIM ETF Products Trust,mechanism,physical,options,HIGH
AUGW US,ALLIANZIM US EQ BUFFER20 AUG,AIM ETF Products Trust,mechanism,physical,options,HIGH
AUGZ US,TRUESHARES STRUCTURED OUTCOME AUGUST ETF,Elevation Series Trust,mechanism,physical,options,HIGH
AUMI US,THEMES GOLD MINERS ETF,Themes ETF Trust,asset_class,Commodity,Equity,HIGH
AUMI US,THEMES GOLD MINERS ETF,Themes ETF Trust,sub_strategy,Broad,Sector,MEDIUM
AVDV US,AVANTIS INTERNATIONAL SMALL CAP VALUE ETF,American Century ETF Trust,sub_strategy,Style,Broad,MEDIUM
AVGG US,LEVERAGE SHARES 2X LONG AVGO DAILY ETF,Themes ETF Trust,underlier_name,AVGO US,AVGO,HIGH
AVGG US,LEVERAGE SHARES 2X LONG AVGO DAILY ETF,Themes ETF Trust,mechanism,physical,swap,HIGH
AVGU US,GRANITESHARES 2X LONG AVGO DAILY ETF,GraniteShares ETF Trust,underlier_name,AVGO US,AVGO,HIGH
AVGU US,GRANITESHARES 2X LONG AVGO DAILY ETF,GraniteShares ETF Trust,mechanism,physical,swap,HIGH
AVGW US,ROUNDHILL AVGO WEEKLYPAY ETF,Roundhill ETF Trust,sub_strategy,Derivative Income > Covered Call,Derivative Income > 0DTE / Weekly,HIGH
AVGW US,ROUNDHILL AVGO WEEKLYPAY ETF,Roundhill ETF Trust,underlier_name,AVGO US,AVGO,HIGH
AVGW US,ROUNDHILL AVGO WEEKLYPAY ETF,Roundhill ETF Trust,mechanism,physical,swap,HIGH
AVGX US,DEFIANCE DAILY TARGET 2X LONG AVGO ETF,Tidal Trust II,underlier_name,AVGO US,AVGO,HIGH
AVGX US,DEFIANCE DAILY TARGET 2X LONG AVGO ETF,Tidal Trust II,mechanism,physical,swap,HIGH
AVIE US,AVANTIS INFLATION FOCUSED EQUITY ETF,American Century ETF Trust,sub_strategy,Thematic,Broad,LOW
AVIV US,AVANTIS INTERNATIONAL LARGE CAP VALUE ETF,American Century ETF Trust,sub_strategy,Style,Broad,MEDIUM
AVL US,DIREXION DAILY AVGO BULL 2X ETF,Direxion ETFs/USA,underlier_name,AVGO US,AVGO,HIGH
AVL US,DIREXION DAILY AVGO BULL 2X ETF,Direxion ETFs/USA,mechanism,physical,swap,HIGH
AVMA US,AVANTIS MODERATE ALLOCATION ETF,American Century ETF Trust,sub_strategy,Allocation,Broad,HIGH
AVNV US,AVANTIS ALL INTERNATIONAL MARKETS VALUE ETF,American Century ETF Trust,sub_strategy,Style,Broad,MEDIUM
AVS US,DIREXION DAILY AVGO BEAR 1X ETF,Direxion ETFs/USA,underlier_name,AVGO US,AVGO,HIGH
AVS US,DIREXION DAILY AVGO BEAR 1X ETF,Direxion ETFs/USA,mechanism,physical,swap,HIGH
AVXX US,DEFIANCE DAILY TARGET 2X LONG AVAV ETF,Tidal Trust II,underlier_name,AVAV US,AVAV,HIGH
AVXX US,DEFIANCE DAILY TARGET 2X LONG AVAV ETF,Tidal Trust II,mechanism,physical,swap,HIGH
AWAY US,AMPLIFY TRAVEL TECH ETF,Amplify ETF Trust,sub_strategy,Thematic,Sector,MEDIUM
AXPG US,LEVERAGE SHARES 2X LONG AXP DAILY ETF,Themes ETF Trust,mechanism,physical,swap,HIGH
