ticker,etp_category,reason
CCRP US,,"auto-llm-other: Corporate bond ETF is a traditional fixed income product with no leverage, options, or thematic overlay."
COMD US,,auto-llm-other: Broad commodity strategy ETF provides commodity exposure without leverage or defined outcome structures.
CRXP US,,auto-llm-other: Core plus bond ETF is a traditional fixed income product without leverage or structured outcomes.
DLUX US,,"auto-llm-other: Ultrashort income ETF is a fixed income product with minimal duration, no leverage or structural complexity."
EVPF US,,auto-llm-other: Preferred securities and income ETF is a fixed income product focused on preferred shares without leverage or defined outcomes.
FAAA US,,auto-llm-other: AAA CLO ETF is a fixed income product focused on collateralized loan obligations without leverage or structural complexity.
FCLO US,,auto-llm-other: CLO ETF is a fixed income product focused on collateralized loan obligations without leverage or structural complexity.
IMTG US,,"auto-llm-other: Agency mortgage-backed securities ETF is a specialized fixed-income product not fitting standard LI, CC, or Defined categories."
IQMM US,,"auto-llm-other: Money market ETF with active management is a cash-equivalent product outside standard leveraged, crypto, or thematic categories."
JA US,,auto-llm-other: CLO (collateralized loan obligation) ETF is a specialized structured credit product not fitting standard categories.
JMMF US,,"auto-llm-other: 100% US Treasury money market ETF is a cash-equivalent product outside standard leveraged, crypto, or thematic categories."
KAMO US,,auto-llm-other: Credit opportunities fixed-income ETF targeting flexible credit strategies is a specialized product outside standard categories.
LTAX US,,"auto-llm-other: Tax-free municipal bond ETF is a specialized fixed-income product not fitting standard LI, crypto, or thematic categories."
LVIG US,,"auto-llm-other: Longview advantage fixed-income ETF is an actively managed bond fund outside standard leveraged, crypto, or thematic categories."
MBBA US,,"auto-llm-other: Mortgage-backed securities active ETF is a specialized fixed-income product not fitting standard LI, crypto, or thematic categories."
LSTB US,,"auto-llm-other: Natixis Loomis Sayles total return bond ETF; standard fixed income strategy without leverage, defined structures, or thematic focus."
LSCP US,,auto-llm-other: Natixis Loomis Sayles dynamic core plus bond ETF; traditional fixed income strategy with active management but no leverage or special structure.
FSTB US,,"auto-llm-other: Fidelity short-term bond fund; traditional fixed income ETF without leverage, derivatives, or thematic structure."
FIMU US,,auto-llm-other: Fidelity intermediate municipal bond ETF; standard fixed income muni bond product without leverage or defined structure.
BSJY US,,auto-llm-other: Invesco BulletShares 2034 high yield corporate bond ETF; structured maturity ladder bond product without leverage or complex derivatives.
CHYG US,,auto-llm-other: High-yield corporate bond fund with 0-5 year maturity is specialized fixed income not aligned with standard product categories.
CIVG US,,auto-llm-other: Investment-grade corporate bond fund with 1-5 year maturity is a specialized fixed income product outside core categories.
CUST US,,"auto-llm-other: Fixed income Treasury bond ETF with 1-3 year maturity; standard bond fund not fitting LI, CC, Crypto, Defined, or Thematic categories."
CIEI US,,auto-llm-other: Fixed income Treasury bond ETF with 3-7 year maturity; standard bond fund not requiring specialized categorization.
CGOV US,,auto-llm-other: Fixed income T-Bill ETF with 0-3 month maturity; short-duration Treasury fund not fitting other category definitions.
CBIL US,,auto-llm-other: Fixed income T-Bill ETF with 3-12 month maturity; intermediate short-duration Treasury fund.
YCLO US,,auto-llm-other: Collateralized loan obligation fixed income ETF; specialized credit product not fitting primary categories.
VCHY US,,auto-llm-other: High-yield corporate bond index ETF; fixed income credit product not requiring specialized classification.
PRIZ US,,auto-llm-other: Preferred income fixed income ETF; specialized fixed income product focusing on preferred stock income.
JPFP US,,"auto-llm-other: Managed futures strategy ETF using systematic trend-following approach across multiple asset classes, not fitting standard equity/leverage categories."
ASEC US,,auto-llm-other: Securitized credit ETF targeting fixed income credit instruments; not an equity-based leverage or thematic product.
ADDS US,,"auto-llm-other: Hedgeye index-based alternative strategy ETF using dynamic allocation/factor combination, not a standard leverage or thematic approach."
WDE US,,"auto-llm-other: Securitized debt ETF focused on structured fixed income credit assets, not an equity or leverage product."
FITZ US,,"auto-llm-other: Must-have portfolio equity ETF; branded equity strategy without clear leveraged, crypto, or specific thematic mandates."
DWWN US,,"auto-llm-other: Long-duration bond ETF; fixed income duration strategy without leverage, crypto, or thematic focus."
DINE US,,auto-llm-other: Tax-aware diversified income strategy with mixed allocation; complex multi-asset strategy outside core REX categories.
CBOX US,,auto-llm-other: Tax-aware collateral-based alternative; structured alternative product outside REX's primary equity and structured categories.
TLDR US,,"curated: REX T-Bill ladder, outside the 5 legacy categories"
AQLG US,,"audit-2026-06-10: plain-beta equity, AI-tier CC mislabel reverted"
BGEG US,,"audit-2026-06-10: plain-beta equity, AI-tier CC mislabel reverted"
BGIA US,,"audit-2026-06-10: plain-beta equity, AI-tier CC mislabel reverted"
BROL US,,"audit-2026-06-10: plain-beta equity, AI-tier CC mislabel reverted"
BRSM US,,"audit-2026-06-10: plain-beta equity, AI-tier CC mislabel reverted"
CVGD US,,"audit-2026-06-10: plain-beta equity, AI-tier CC mislabel reverted"
CVSM US,,"audit-2026-06-10: plain-beta equity, AI-tier CC mislabel reverted"
EMEM US,,"audit-2026-06-10: plain-beta equity, AI-tier CC mislabel reverted"
EMSC US,,"audit-2026-06-10: plain-beta equity, AI-tier CC mislabel reverted"
FEMG US,,"audit-2026-06-10: plain-beta equity, AI-tier CC mislabel reverted"
FEMV US,,"audit-2026-06-10: plain-beta equity, AI-tier CC mislabel reverted"
FSEG US,,"audit-2026-06-10: plain-beta equity, AI-tier CC mislabel reverted"
FSEV US,,"audit-2026-06-10: plain-beta equity, AI-tier CC mislabel reverted"
GEQ US,,"audit-2026-06-10: plain-beta equity, AI-tier CC mislabel reverted"
MIVL US,,"audit-2026-06-10: plain-beta equity, AI-tier CC mislabel reverted"
NISM US,,"audit-2026-06-10: plain-beta equity, AI-tier CC mislabel reverted"
PCPP US,,"audit-2026-06-10: plain-beta equity, AI-tier CC mislabel reverted"
SMCP US,,"audit-2026-06-10: plain-beta equity, AI-tier CC mislabel reverted"
SSCP US,,"audit-2026-06-10: plain-beta equity, AI-tier CC mislabel reverted"
SSMG US,,"audit-2026-06-10: plain-beta equity, AI-tier CC mislabel reverted"
TRUI US,,"audit-2026-06-10: plain-beta equity, AI-tier CC mislabel reverted"
TRUO US,,"audit-2026-06-10: plain-beta equity, AI-tier CC mislabel reverted"
VDG US,,"audit-2026-06-10: plain-beta equity, AI-tier CC mislabel reverted"
VDV US,,"audit-2026-06-10: plain-beta equity, AI-tier CC mislabel reverted"
WCMG US,,"audit-2026-06-10: plain-beta equity, AI-tier CC mislabel reverted"
ZINC US,,"audit-2026-06-10: plain-beta equity, AI-tier CC mislabel reverted"
YSAG US,,auto-llm-other: Physical commodity (silver) ETF; spot metal exposure without leverage or options mechanics.
YSAU US,,auto-llm-other: Physical commodity (gold) ETF; spot metal exposure without leverage or options mechanics.
AMEI US,,auto-llm-other: Equity income ETF focused on dividend growth without explicit options-income or covered call mechanics.
AMGR US,,"auto-llm-other: Growth equity ETF with no leverage, options-income, or thematic focus; plain equity."
TPUT US,,"auto-llm-other: Capital appreciation/market opportunities ETF; broad equity without leverage, thematic focus, or options mechanics indicated."
FPAA US,,"auto-llm-other: Global multi-asset allocation fund with no leverage, options strategies, or crypto exposure."
OWN US,,"auto-llm-other: Insider ownership equity ETF with no leverage, options strategies, or specialized thematic focus."
HBMX US,,"auto-llm-other: Concentrated memory-stack equity portfolio; no leverage, options mechanics, or thematic signal apparent."
PCSG US,,"auto-llm-other: Small-mid cap growth equity fund with no leverage, options income, or thematic focus; standard equity selection strategy."
CRIB US,,auto-llm-other: Global real estate equity ETF with no leverage or options-income structure; plain REIT/real estate exposure.
IINC US,,auto-llm-other: Consolidated income ETF name suggests dividend/equity income strategy but lacks explicit options-income mechanics to qualify as CC.
SFYI US,,auto-llm-other: Social 50 income ETF implies dividend/equity income without clear options-income or covered call strategy details.
DFAL US,,"auto-llm-other: Core equity market ETF with no leverage, options, or thematic focus; standard equity index exposure."
BD US,,auto-llm-other: Core plus bond ETF without leverage or options-income mechanics; standard fixed income strategy.
ACOM US,,auto-llm-other: Active commodity ETF with standard commodity exposure; no leverage or options-income structure.
GISC US,,auto-llm-other: Securitized income ETF suggests credit/income focus but lacks explicit options-income or covered call mechanics to qualify as CC.
BNDY US,,horizon_core_bond_plain_fixed_income_not_option_income
BREE US,,mfs_em_equity_plain_equity_not_income
MEMA US,,man_em_alternative_not_option_income
NMB US,,simplify_muni_bond_plain_fixed_income_not_income
AVTM US,,avantis_total_equity_plain_equity
BRES US,,burney_us_equity_select_plain_equity
GARY US,,mango_growth_plain_equity
ARWG US,,archer_growth_plain_equity
BAIV US,,brown_advisory_intl_value_plain_equity
ACTS US,,fis_tactical_equity_plain_equity
FEMD US,,first_eagle_midcap_equity_plain_equity
PVEX US,,trueshares_convequity_plain_equity
TYA US,,simplify_intermediate_treasury_futures_fixed_income
HEDG US,,equable_hedged_equity_collar_not_income
HEQT US,,simplify_hedged_equity_collar_not_income
JHDG US,,jhancock_hedged_equity_collar_not_income
DVVY US,,dividend_equity_not_option_income
GAID US,,dividend_equity_not_option_income
GAUD US,,dividend_equity_not_option_income
IDVY US,,dividend_equity_not_option_income
HELS US,,hedgeye_130_30_longshort_not_daily_reset_leverage
SGVA US,,fm_accumulator_ultrashort_treasury_not_li
AAAP US,,auto-llm-other: CLO market flex bond ETF with no options-income or leverage mechanics; credit strategy via direct holdings.
PBSC US,,auto-llm-other: Secured credit bond ETF with no options-income or leverage; fixed income credit strategy via direct holdings.
BKLG US,,auto-llm-other: Large cap equity growth ETF with no leverage or special strategy; standard growth factor exposure.
VPAC US,,auto-llm-other: Active credit ETF with no options-income mechanics; standard fixed income strategy.
AMOR US,,auto-llm-other: Mortgage-backed securities ETF; traditional fixed income with no options-income strategy.
RANK US,,"auto-llm-other: Analyst-rating-based equity selection ETF; no leverage, options, or defined return structure."
AMHI US,,auto-llm-other: Municipal high-income bond ETF; fixed income strategy without options-income mechanics.
MWHS US,,auto-llm-other: Electricity futures ETF tracking commodity prices; no leverage or options-income structure evident.
QNDX US,,"auto-llm-other: NASDAQ 100 index tracking ETF with no leverage, derivatives, or options mechanics; plain equity index exposure."
JPRF US,,auto-llm-other: Preferred and fixed income securities fund without options-income strategy.
BWQG US,,"auto-llm-other: Quality growth equity ETF with no leverage, options mechanics, or thematic focus."
RMHY US,,auto-llm-other: Risk-managed yield fixed income ETF with adaptive strategy but no explicit options-income or leverage stated; fixed income with active management.
